"Naplatna postaja HAC";"GPS pin ulaza";"GPS pin izlaza"
"Benkovac";"44.00861248035217, 15.58084030860634";"44.0094889363266, 15.581870902275888"
"Bosiljevo";"45.41787080102865,15.29171338429674";"45.41824734486209,15.292196181906608"
"Čakovec";"46.35018110185263,16.52937748858989";"46.35004780147123,16.530450372167376"
"Delnice";"45.37701815315436,14.791109157327723";"45.376369085764054,14.791160199646562"
"Gospić";"44.573578745620104,15.422202851481147";"44.57363487909885,15.422589078266721"
"Jastrebarsko";"45.645790078210766,15.676848855528972";"45.646165099192096,15.67749258570337"
"Karlovac";"45.512112959307736,15.548630657314565";"45.51252646552533,15.548641386150337"
"Maslenica";"44.24033604277839,15.533342552492691";"44.239990156075116,15.532312584258303"
"Nova Gradiška";"45.231863132858386,17.41158402476866";"45.23068443612175,17.411970262856556"
"Novi Marof";"46.1502769465146,16.364938415062333";"46.151146554766505,16.365238822464033"
"Novigrad";"45.479203242800544,15.425741772694481";"45.4797448758597,15.426288943318998"
"Novska";"45.33172952983759,16.94788137841858";"45.33157868199758,16.946980156213492"
"Ogulin";"45.23597615606893,15.263980445990718";"45.23684765618739,15.263648716986902"
"Otočac";"44.89147507339358,15.190141632943627";"44.892615180377,15.188661053606696"
"Perušić";"44.6670640216604,15.41931410095164";"44.66730819355312,15.418681099640926"
"Pirovac";"43.887595092962265,15.787249871525294";"43.88665174671077,15.785769292188363"
"Ravna Gora";"45.38207510775786,14.912880497802728";"45.38273070762892,14.912998514996252"
"Rijeka (Grobnik)";"45.37667471504762,14.52314084011656";"45.376938488228326,14.523269586145856"
"Skradin";"43.83746031791003,15.893622973913839";"43.83743710153469,15.891863444846765"
"Sveta Helena";"45.92053269032796,16.27380299749383";"45.92048790887415,16.273330928719737"
"Vrata";"45.317233591391634,14.72775635365339";"45.31740711030604,14.72724136952419"
"Zadar 2 istok";"44.114781862735285,15.436941980595549";"44.11367265882294,15.439688562553913"
"Zagreb";"45.74994265009304,15.884952814454294";"45.74878971918852,15.884233982457381"
"Zagreb (Demerje)";;"45.723575729007145,15.87015248615733"
"Zagreb istok";"45.75378410584653,16.27416901736151";"45.754382980371076,16.27520971443167"
